orgname,depart_time,duration,arrival,amount,rating,seat,bustype,route_link
IntrCity SmartBus,23:45,06h 15m,06:00,541.0,4.0,34,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,23:25,07h 00m,06:25,577.0,4.0,31,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,22:30,06h 50m,05:20,480.0,4.0,31,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,05:00,07h 05m,12:05,450.0,4.0,33,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,16:20,06h 45m,23:05,450.0,4.0,34,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,21:30,06h 35m,04:05,450.0,4.0,22,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,10:00,06h 40m,16:40,500.0,4.0,43,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,23:25,06h 30m,05:55,450.0,4.0,26,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Sanvi Tours and Travels,23:25,05h 52m,05:17,584.0,4.0,24,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,17:30,06h 35m,00:05,500.0,4.0,12,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,12:30,05h 10m,17:40,450.0,4.0,16,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,09:35,07h 25m,17:00,332.0,4.0,38,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,23:50,06h 20m,06:10,629.0,4.0,35,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,23:40,06h 50m,06:30,932.0,4.0,22,AC Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Durga Malleswari Travels,22:30,07h 15m,05:45,827.0,4.0,22,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,21:50,06h 15m,04:05,332.0,4.0,21,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
GMRK Tours and Travels,23:45,06h 10m,05:55,409.0,4.0,31,Volvo A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Zingbus Plus,22:50,06h 50m,05:40,343.0,4.0,27,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,08:40,07h 20m,16:00,332.0,4.0,32,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,23:00,07h 30m,06:30,379.0,4.0,14,Electric A/C Seater/Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Svkdt travels,23:20,06h 54m,06:14,667.0,4.0,34,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,23:45,05h 50m,05:35,667.0,4.0,34,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,23:00,06h 45m,05:45,579.0,4.0,29,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,16:00,06h 42m,22:42,332.0,4.0,27,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,04:30,07h 30m,12:00,332.0,4.0,29,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,06:30,07h 25m,13:55,332.0,4.0,30,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,23:20,06h 35m,05:55,799.0,4.0,37,Scania AC Multi Axle Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,13:00,06h 42m,19:42,332.0,4.0,18,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
