orgname,depart_time,duration,arrival,amount,rating,seat,bustype,route_link
MMK Travels,22:30,09h 00m,07:30,750,4.0,23,VE A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,20:10,10h 35m,06:45,1000,4.0,18,Bharat Benz A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,23:00,10h 00m,09:00,899,4.0,37,Bharat Benz A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdSuraj Holidays,22:30,09h 00m,07:30,950,4.0,21,VE A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Silver Line Travels,22:00,08h 10m,06:10,699,4.0,33,NON A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,21:45,08h 25m,06:10,800,4.0,15,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,18:45,11h 45m,06:30,1100,4.0,13,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,22:45,08h 45m,07:30,1100,4.0,19,VE A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DLT BUS,22:30,09h 00m,07:30,1199,3.0,16,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,22:15,08h 15m,06:30,800,4.0,12,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tourist Corporation (REGD),21:00,08h 30m,05:30,899,3.0,16,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,22:45,07h 45m,06:30,799,3.0,21,NON A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),22:00,09h 05m,07:05,899,3.0,20,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SURAJ TRAVEL HOUSE,21:00,10h 30m,07:30,800,3.0,21,VE A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tours & Travels,21:15,08h 30m,05:45,999,4.0,19,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,21:00,09h 45m,06:45,600,3.0,23,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
